ID,Дата проведения матча,Команда Силы Света,Команда Силы Тьмы,Победитель,Победившая сторона
145,2020-06-13,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
146,2022-10-17,Xtreme Gaming,Tundra Esports,Xtreme Gaming,Силы света
147,2022-08-20,Azure Ray,Parivision,Azure Ray,Силы света
148,2023-10-13,Azure Ray,Team Liquid,Team Liquid,Силы тьмы
149,2023-05-07,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
150,2020-05-26,Tundra Esports,Parivision,Tundra Esports,Силы света
151,2023-04-08,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
152,2021-04-13,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
153,2023-03-06,Heroic,Parivision,Heroic,Силы света
154,2020-08-21,Xtreme Gaming,Shopify Rebellion,Xtreme Gaming,Силы света
155,2020-09-26,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
156,2021-10-28,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
157,2022-06-08,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
158,2020-08-03,Xtreme Gaming,Heroic,Heroic,Силы тьмы
159,2023-08-04,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
160,2022-07-05,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
161,2022-05-17,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
162,2022-08-04,Heroic,Team Spirit,Team Spirit,Силы тьмы
163,2020-09-19,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
164,2020-02-27,BetBoom Team,Team Spirit,BetBoom Team,Силы света
165,2022-11-26,Gaimin Gladiators,Team Liquid,Gaimin Gladiators,Силы света
166,2021-03-06,Heroic,Team Spirit,Team Spirit,Силы тьмы
167,2021-07-29,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
168,2021-03-01,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
169,2021-02-08,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
170,2021-01-22,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
171,2021-07-30,Heroic,Parivision,Parivision,Силы тьмы
172,2021-07-05,Tundra Esports,Heroic,Tundra Esports,Силы света
173,2021-02-06,Shopify Rebellion,Team Liquid,Team Liquid,Силы тьмы
174,2023-05-20,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
175,2023-03-31,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
176,2020-10-25,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
177,2022-07-11,Azure Ray,Shopify Rebellion,Shopify Rebellion,Силы тьмы
178,2021-03-13,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
179,2023-04-06,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
180,2021-07-17,Shopify Rebellion,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
181,2022-10-09,Parivision,Team Spirit,Team Spirit,Силы тьмы
182,2020-09-25,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
183,2022-03-23,Azure Ray,Tundra Esports,Azure Ray,Силы света
184,2023-07-22,Team Liquid,Heroic,Heroic,Силы тьмы
185,2021-11-05,Parivision,Gaimin Gladiators,Parivision,Силы света
186,2021-12-03,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
187,2020-09-03,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
188,2021-01-29,BetBoom Team,Heroic,Heroic,Силы тьмы
189,2021-11-02,Team Spirit,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
190,2020-12-27,Parivision,Team Spirit,Team Spirit,Силы тьмы
191,2020-01-10,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
192,2020-10-19,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
193,2021-07-30,Gaimin Gladiators,Shopify Rebellion,Gaimin Gladiators,Силы света
194,2020-01-12,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
195,2020-05-13,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
196,2022-02-17,Shopify Rebellion,Team Liquid,Team Liquid,Силы тьмы
197,2022-01-15,Gaimin Gladiators,Team Spirit,Team Spirit,Силы тьмы
198,2022-11-28,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
199,2020-07-24,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
200,2020-06-06,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
201,2022-02-23,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
202,2020-02-16,Azure Ray,Heroic,Heroic,Силы тьмы
203,2022-11-30,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
204,2020-05-16,Xtreme Gaming,Azure Ray,Azure Ray,Силы тьмы
205,2021-09-05,Azure Ray,Team Spirit,Azure Ray,Силы света
206,2023-05-30,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
207,2021-06-03,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
208,2022-02-09,Parivision,Team Liquid,Team Liquid,Силы тьмы
209,2022-04-26,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
210,2023-04-09,Team Spirit,Tundra Esports,Team Spirit,Силы света
211,2023-06-13,Gaimin Gladiators,Team Spirit,Gaimin Gladiators,Силы света
212,2021-05-15,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
213,2022-08-28,Gaimin Gladiators,Team Spirit,Gaimin Gladiators,Силы света
214,2020-01-01,Tundra Esports,Team Liquid,Tundra Esports,Силы света
215,2021-02-24,Azure Ray,Shopify Rebellion,Shopify Rebellion,Силы тьмы
216,2023-12-30,Team Spirit,Shopify Rebellion,Team Spirit,Силы света
217,2020-07-20,Tundra Esports,Shopify Rebellion,Tundra Esports,Силы света
218,2020-03-10,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
219,2020-04-19,Parivision,Azure Ray,Parivision,Силы света
220,2020-03-04,Azure Ray,Team Spirit,Azure Ray,Силы света
221,2020-10-04,Team Spirit,Heroic,Heroic,Силы тьмы
222,2022-02-09,Azure Ray,Heroic,Heroic,Силы тьмы
223,2023-03-26,Parivision,BetBoom Team,Parivision,Силы света
224,2021-07-20,Xtreme Gaming,Heroic,Xtreme Gaming,Силы света
225,2020-04-13,Parivision,Tundra Esports,Parivision,Силы света
226,2020-02-11,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
227,2022-06-22,Gaimin Gladiators,Xtreme Gaming,Gaimin Gladiators,Силы света
228,2022-03-19,Tundra Esports,Azure Ray,Tundra Esports,Силы света
229,2021-07-11,Xtreme Gaming,Team Liquid,Team Liquid,Силы тьмы
230,2020-06-03,Azure Ray,Heroic,Heroic,Силы тьмы
231,2022-09-16,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
232,2023-08-11,Team Spirit,Shopify Rebellion,Shopify Rebellion,Силы тьмы
233,2023-05-11,Team Liquid,Azure Ray,Team Liquid,Силы света
234,2021-01-15,Azure Ray,Parivision,Azure Ray,Силы света
235,2020-07-08,Parivision,BetBoom Team,Parivision,Силы света
236,2020-03-27,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
237,2022-02-11,Team Liquid,Azure Ray,Team Liquid,Силы света
238,2021-04-12,Team Spirit,Parivision,Team Spirit,Силы света
239,2022-08-05,Azure Ray,BetBoom Team,Azure Ray,Силы света
240,2022-02-20,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
241,2023-03-06,BetBoom Team,Heroic,Heroic,Силы тьмы
242,2020-08-28,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
243,2023-02-28,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
244,2021-05-31,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
245,2022-12-15,Azure Ray,Team Spirit,Azure Ray,Силы света
246,2022-01-13,Heroic,Xtreme Gaming,Heroic,Силы света
247,2023-10-16,Heroic,Team Spirit,Heroic,Силы света
248,2023-07-21,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
249,2022-12-10,BetBoom Team,Azure Ray,Azure Ray,Силы тьмы
250,2021-09-10,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
251,2022-11-15,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
252,2023-02-16,Team Spirit,Heroic,Team Spirit,Силы света
253,2020-04-08,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
254,2023-08-13,Heroic,Azure Ray,Heroic,Силы света
255,2021-03-05,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
256,2022-07-31,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
257,2021-11-22,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
258,2023-01-09,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
259,2021-08-12,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
260,2020-01-28,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
261,2022-04-26,Team Spirit,Shopify Rebellion,Team Spirit,Силы света
262,2020-08-18,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
263,2021-12-15,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
264,2023-03-25,Azure Ray,Heroic,Heroic,Силы тьмы
265,2021-03-22,Team Liquid,Azure Ray,Team Liquid,Силы света
266,2023-11-20,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
267,2021-10-10,Parivision,Azure Ray,Azure Ray,Силы тьмы
268,2021-04-06,Shopify Rebellion,BetBoom Team,BetBoom Team,Силы тьмы
269,2021-12-04,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
270,2020-07-02,Azure Ray,Team Spirit,Azure Ray,Силы света
271,2021-10-03,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
272,2023-08-27,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
273,2023-07-07,Team Spirit,Heroic,Team Spirit,Силы света
274,2021-04-26,Shopify Rebellion,Parivision,Parivision,Силы тьмы
275,2021-11-28,Tundra Esports,Azure Ray,Tundra Esports,Силы света
276,2022-12-25,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
277,2021-05-26,Heroic,BetBoom Team,Heroic,Силы света
278,2020-05-13,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
279,2020-11-22,Azure Ray,Tundra Esports,Azure Ray,Силы света
280,2023-06-18,Team Spirit,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
281,2020-08-28,Tundra Esports,Team Spirit,Team Spirit,Силы тьмы
282,2023-04-07,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
283,2023-01-22,Parivision,BetBoom Team,Parivision,Силы света
284,2022-09-29,Azure Ray,Team Liquid,Team Liquid,Силы тьмы
285,2023-08-24,Azure Ray,Team Liquid,Team Liquid,Силы тьмы
286,2022-08-21,Gaimin Gladiators,Shopify Rebellion,Gaimin Gladiators,Силы света
287,2020-11-29,Azure Ray,Team Liquid,Team Liquid,Силы тьмы
288,2023-12-03,Tundra Esports,Parivision,Parivision,Силы тьмы
289,2021-12-02,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
290,2020-02-29,Team Liquid,Tundra Esports,Team Liquid,Силы света
291,2023-12-16,Xtreme Gaming,Gaimin Gladiators,Xtreme Gaming,Силы света
292,2022-07-30,Parivision,Gaimin Gladiators,Parivision,Силы света
293,2021-01-20,Team Spirit,Team Liquid,Team Spirit,Силы света
294,2023-11-02,Parivision,Tundra Esports,Parivision,Силы света
295,2023-04-18,Heroic,Parivision,Parivision,Силы тьмы
296,2023-10-21,Heroic,Gaimin Gladiators,Heroic,Силы света
297,2022-12-03,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
298,2021-06-28,Xtreme Gaming,Team Spirit,Team Spirit,Силы тьмы
299,2022-07-17,Xtreme Gaming,Gaimin Gladiators,Xtreme Gaming,Силы света
300,2022-08-16,Team Spirit,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
301,2020-11-30,Azure Ray,Parivision,Azure Ray,Силы света
302,2022-01-10,BetBoom Team,Team Spirit,BetBoom Team,Силы света
303,2023-05-29,Shopify Rebellion,Azure Ray,Shopify Rebellion,Силы света
304,2022-01-31,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
305,2022-04-04,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
306,2021-09-11,Parivision,Heroic,Parivision,Силы света
307,2023-02-01,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
308,2020-12-01,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
309,2021-05-03,Gaimin Gladiators,Azure Ray,Azure Ray,Силы тьмы
310,2020-08-10,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
311,2022-05-27,Heroic,Tundra Esports,Tundra Esports,Силы тьмы
312,2022-07-22,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
313,2020-04-15,Team Spirit,BetBoom Team,Team Spirit,Силы света
314,2023-09-21,Tundra Esports,Parivision,Parivision,Силы тьмы
315,2020-08-24,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
316,2023-07-09,Tundra Esports,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
317,2021-08-18,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
318,2022-03-27,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
319,2023-05-23,Azure Ray,Team Liquid,Team Liquid,Силы тьмы
320,2021-09-09,Parivision,Team Liquid,Team Liquid,Силы тьмы
321,2021-08-30,Heroic,Azure Ray,Azure Ray,Силы тьмы
322,2021-04-18,Team Spirit,Parivision,Team Spirit,Силы света
323,2020-03-09,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
324,2020-10-25,Gaimin Gladiators,Parivision,Gaimin Gladiators,Силы света
325,2020-05-27,BetBoom Team,Heroic,BetBoom Team,Силы света
326,2021-05-18,Heroic,BetBoom Team,Heroic,Силы света
327,2021-11-12,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
328,2023-04-18,Azure Ray,Heroic,Azure Ray,Силы света
329,2023-11-29,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
330,2021-02-13,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
331,2022-06-07,Azure Ray,Parivision,Azure Ray,Силы света
332,2021-09-11,Heroic,Xtreme Gaming,Heroic,Силы света
333,2022-03-31,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
334,2021-07-22,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
335,2020-10-07,Parivision,Heroic,Parivision,Силы света
336,2023-09-28,Heroic,Shopify Rebellion,Heroic,Силы света
337,2022-03-05,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
338,2023-11-29,Team Spirit,Shopify Rebellion,Shopify Rebellion,Силы тьмы
339,2022-05-05,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
340,2023-10-06,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
341,2021-05-15,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
342,2023-04-13,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
343,2021-04-15,Team Liquid,Team Spirit,Team Liquid,Силы света
344,2020-05-23,Parivision,Azure Ray,Parivision,Силы света
345,2021-06-11,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
346,2021-08-28,Team Liquid,Azure Ray,Team Liquid,Силы света
347,2021-06-06,Parivision,Azure Ray,Parivision,Силы света
348,2020-10-02,Xtreme Gaming,Shopify Rebellion,Xtreme Gaming,Силы света
349,2023-09-26,Xtreme Gaming,Parivision,Parivision,Силы тьмы
350,2023-12-31,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
351,2022-03-15,Parivision,BetBoom Team,Parivision,Силы света
352,2023-03-06,Gaimin Gladiators,Azure Ray,Azure Ray,Силы тьмы
353,2020-12-30,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
354,2022-01-20,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
355,2020-03-03,BetBoom Team,Heroic,Heroic,Силы тьмы
356,2021-04-10,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
357,2022-07-17,BetBoom Team,Heroic,BetBoom Team,Силы света
358,2022-09-23,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
359,2020-06-18,Xtreme Gaming,Azure Ray,Azure Ray,Силы тьмы
